Precincts,Borough,Crime,Latitude,Longitude
40,Bronx,"HARASSMENT,SUBD 1,CIVILIAN",40.808777943000045,-73.923130702
105,Queens,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",40.732842997000034,-73.72924663399994
18,Manhattan,"HARASSMENT,SUBD 3,4,5",40.76263377600003,-73.97211540299998
120,Staten Island,"BURGLARY,RESIDENCE,UNKNOWN TIM",40.62100643400004,-74.09803851699996
52,Bronx,"LARCENY,PETIT FROM STORE-SHOPL",40.88175555600003,-73.88235556099994
114,Queens,"LARCENY,PETIT FROM STORE-SHOPL",40.752433721000045,-73.91494126399994
114,Queens,"LEWDNESS,PUBLIC",40.76690311300007,-73.92139204399997
10,Manhattan,"HARASSMENT,SUBD 3,4,5",40.74643470000007,-74.00697758099993
14,Manhattan,"LARCENY,PETIT FROM OPEN AREAS,",40.756718685000074,-73.98645851699997
73,Brooklyn,"ROBBERY,DWELLING",40.656411510000055,-73.91220924599996
69,Brooklyn,"HARASSMENT,SUBD 1,CIVILIAN",40.64535357800003,-73.89976288799994
94,Brooklyn,"THEFT OF SERVICES, UNCLASSIFIE",40.721298785000045,-73.95734512099993
44,Bronx,"ASSAULT 2,1,UNCLASSIFIED",40.82640595100002,-73.92115553999997
28,Manhattan,"LARCENY,PETIT FROM STORE-SHOPL",40.810476043000044,-73.95188015099995
75,Brooklyn,"BURGLARY,RESIDENCE,NIGHT",40.67617918900004,-73.87115281599996
40,Bronx,"HARASSMENT,SUBD 3,4,5",40.80653810100006,-73.918910596
103,Queens,"LARCENY,PETIT FROM BUILDING,UN",40.71668904900002,-73.76504686999994
44,Bronx,"HARASSMENT,SUBD 3,4,5",40.83557791700008,-73.90880353099993
68,Brooklyn,AGGRAVATED HARASSMENT 2,40.633207553000034,-74.02561045099996
9,Manhattan,"HARASSMENT,SUBD 3,4,5",40.72045033300003,-73.97491447999995
94,Brooklyn,"LARCENY,PETIT FROM BUILDING,UN",40.72696521900008,-73.94713110199997
73,Brooklyn,LEAVING SCENE-ACCIDENT-PERSONA,40.669828890000076,-73.91711216999995
49,Bronx,WEAPONS POSSESSION 3,40.86419262200008,-73.85386866199997
42,Bronx,ASSAULT 3,40.824550773000055,-73.91023502099996
50,Bronx,"HARASSMENT,SUBD 3,4,5",40.884027135000046,-73.89256436299998
104,Queens,"MISCHIEF, CRIMINAL 4, OF MOTOR",40.69943988600005,-73.90351159499993
121,Staten Island,"CHILD, ENDANGERING WELFARE",40.62368882200008,-74.15065813299998
103,Queens,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",40.707354054000064,-73.78913032999998
77,Brooklyn,"LARCENY,PETIT FROM OPEN AREAS,",40.67483467200003,-73.94308064499995
42,Bronx,ASSAULT 3,40.83587639700004,-73.88920537299998
114,Queens,"MISCHIEF,CRIMINAL,    UNCL 2ND",40.77461733600006,-73.90854762699998
75,Brooklyn,"LARCENY,PETIT FROM BUILDING,UN",40.68948194100005,-73.86769791099994
62,Brooklyn,"BURGLARY,RESIDENCE,DAY",40.61079995700004,-73.97872298799997
122,Staten Island,"HARASSMENT,SUBD 3,4,5",40.55965916000007,-74.16578019999997
44,Bronx,"HARASSMENT,SUBD 3,4,5",40.840060900000026,-73.91723618599997
40,Bronx,"LARCENY,PETIT FROM STORE-SHOPL",40.81536346300004,-73.92453566399996
115,Queens,"OBSCENITY, MATERIAL 3",40.75686097700003,-73.87565666399996
14,Manhattan,"LARCENY,PETIT FROM STORE-SHOPL",40.75043076800005,-73.98928217599996
47,Bronx,STRANGULATION 1ST,40.875888469000074,-73.85882941799997
111,Queens,"HARASSMENT,SUBD 1,CIVILIAN",40.74667808100002,-73.75182963499998
20,Manhattan,ASSAULT 3,40.78514404400005,-73.975020106
10,Manhattan,"LARCENY,PETIT BY FALSE PROMISE",40.75206164200006,-74.00097595299998
50,Bronx,"LARCENY,PETIT FROM AUTO",40.88549712100007,-73.90044599699996
14,Manhattan,"LARCENY,PETIT FROM OPEN AREAS,",40.754408117000025,-73.99185864599998
48,Bronx,OBSTR BREATH/CIRCUL,40.854612389000074,-73.884232679
1,Manhattan,WEAPONS POSSESSION 3,40.71278360900004,-74.01169220199995
114,Queens,"MISCHIEF, CRIMINAL 3 & 2, OF M",40.773793373000046,-73.93628062799998
19,Manhattan,"LARCENY,GRAND FROM STORE-SHOPL",40.76453553900007,-73.97072838799994
44,Bronx,"ARSON, MOTOR VEHICLE 1 2 3 & 4",40.841448077000045,-73.90445130899997
1,Manhattan,"HARASSMENT,SUBD 3,4,5",40.708115270000064,-74.00457498499998
43,Bronx,"LARCENY,PETIT FROM AUTO",40.83044740700007,-73.87579016199999
49,Bronx,"MISCHIEF, CRIMINAL 4, OF MOTOR",40.85008348500003,-73.86872311099995
112,Queens,"HARASSMENT,SUBD 1,CIVILIAN",40.71781060400008,-73.83955790299996
23,Manhattan,RECKLESS ENDANGERMENT 1,40.79282341900005,-73.93773589999995
48,Bronx,AGGRAVATED HARASSMENT 2,40.839517869000076,-73.88841506699998
44,Bronx,UNAUTHORIZED USE VEHICLE 3,40.828467524000075,-73.91388651499993
73,Brooklyn,LEAVING SCENE-ACCIDENT-PERSONA,40.66018677700004,-73.90342059399995
123,Staten Island,"TRESPASS 2, CRIMINAL",40.529634541000064,-74.19968552299997
14,Manhattan,"MISCHIEF,CRIMINAL,    UNCL 2ND",40.75091695000003,-73.99439634599996
79,Brooklyn,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.68057825600005,-73.95246421199994
47,Bronx,"MENACING,UNCLASSIFIED",40.889971221000046,-73.85420260499995
45,Bronx,"LARCENY,PETIT FROM STORE-SHOPL",40.82354469200004,-73.83640160899995
1,Manhattan,"FORGERY,ETC.-MISD.",40.72047497300008,-74.00338533899996
1,Manhattan,"SEXUAL ABUSE 3,2",40.72025522300004,-74.00709027999993
114,Queens,"LARCENY,GRAND OF AUTO",40.77678141100006,-73.93452662199996
49,Bronx,"BURGLARY,COMMERCIAL,NIGHT",40.85557168400004,-73.86766034499993
105,Queens,ASSAULT 3,40.67989062800007,-73.74980678499998
120,Staten Island,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.609900435000036,-74.08494484299997
61,Brooklyn,AGGRAVATED HARASSMENT 2,40.59613433800007,-73.93961890199995
